title
"Node Hours: Total: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Node Hours: Total"
white,123927.2151
black,21885.3494
pikelet,2773.5560
croutons,1991.0233
crumpet,1051.3837
brioche,1039.6295
brown,965.4460
cornbread,945.4733
roti,769.5467
nann,264.4661
focaccia,258.8670
pita,125.1837
bannock,76.7038
barm,69.2494
panettone,49.1340
chapti,47.8230
pumpernickel,33.2774
potbrood,30.4233
---------
