title
"Wall Hours: Total: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Wall Hours: Total"
white,104246.5925
black,15066.5790
pikelet,2773.5564
croutons,1988.8742
brioche,1039.6295
cornbread,800.1423
roti,769.5460
nann,264.4661
focaccia,258.8667
brown,207.8860
crumpet,145.3357
pita,125.1837
bannock,69.6380
barm,69.2491
panettone,49.1337
chapti,47.8230
pumpernickel,33.2775
potbrood,21.0270
---------
