title
"Wall Hours: Per Job: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Resource,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
robertson,7.29909295,0.106627055957324
pozidriv,0.59530227,0.04353327541308313
frearson,0.50704899,0.01551693522991896
mortorq,0.30365382,0.01454014881937126
phillips,0.10845780,0.06300122101046207
---------
