title
"Node Hours: Total: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Resource,"Node Hours: Total"
robertson,124760.4628
frearson,15307.6619
mortorq,7967.8761
pozidriv,6922.8817
phillips,1344.8689
---------
