title
"Node Hours: Total: by Resource"
parameters

start,end
2016-12-22,2017-01-01
---------
Resource,"Node Hours: Total"
robertson,124760.4625
frearson,15307.6618
mortorq,7967.8763
pozidriv,6922.8813
phillips,1344.8688
---------
