title
"Wall Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
"Node Count","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
12,64.23568182,5.022295006482176
28,37.77027778,0
5,30.72350000,2.7877152256241122
6,22.41712500,4.958147677740811
7,22.02904321,6.022712308418543
8,17.76180159,2.7364895689199926
14,10.08083333,7.102298361367881
2,5.20598073,1.03468919286928
20,4.51402778,3.1765790052054
3,4.03675926,0.40652292749156277
4,3.97137457,0.9885211524080079
1,1.73983262,0.025196216930971693
9,0.26055556,0
16,0.05505556,0.019275199955728947
24,0.02138889,0
---------
