title
"Wall Hours: Per Job: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
"Node Count","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
12,64.23568182,5.022295006482176
28,37.77030000,0
5,30.72350000,2.787715225624086
6,22.41713000,4.9581476777408096
7,22.02903333,6.022712308418543
8,17.76180000,2.736489568919993
14,10.08085000,7.102298361367881
2,5.20598163,1.03468919286928
20,4.51405000,3.1765790052054
3,4.03676667,0.4065229274916366
4,3.97137320,0.9885211524080073
1,1.73983261,0.025196216930971682
9,0.26060000,0
16,0.05508000,0.019275199955728947
24,0.02140000,0
---------
