title
"Wait Hours: Total: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Size","Wait Hours: Total"
1,6590.6736
2,2650.6038
"3 - 4",163387.0996
"5 - 8",101051.9192
"9 - 16",25773.1286
"17 - 32",3728.5799
"33 - 64",707.9362
"65 - 128",2293.9769
"129 - 256",148.0836
"257 - 512",13.3595
---------
