title
"CPU Hours: Total: by Node Count"
parameters

start,end
2016-12-22,2017-01-01
---------
"Node Count","CPU Hours: Total"
1,423990.4700
8,174817.4488
12,126588.8667
6,30535.1266
2,22222.2423
7,22205.2756
4,14324.7909
28,12690.8133
5,9217.0499
20,1444.4889
3,1307.9100
14,1129.0533
16,48.0000
9,28.1400
24,6.1600
---------
