title
"Wall Hours: Per Job: by Job Wall Time"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Wall Time","Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
"0 - 1s",0.00000000,0
"1 - 30s",0.00425771,0.00002068000472362406
"30s - 30min",0.14098197,0.0010058453560119714
"30 - 60min",0.61308951,0.0009460819428966987
"1 - 5hr",1.78755387,0.00847883844114904
"5 - 10hr",8.07963719,0
"10 - 18hr",13.53438020,0
18+hr,35.53722415,0
---------
